; eventmsg.txt
PHRASE_eg_city_attacks_you_initial_announcement		"[greeting] [player_name], [reason_phrase] tubgtncrfz fhvbz ujnjdbncz r fnfrt b ljcnbuytn dfituj ujhjlf xthtp [time_until_attack] vtczwtd."
PHRASE_eg_city_attacks_you_2year_reminder			"[greeting] [player_name], [reason_phrase]  tubgtncrfz fhvbz yfxfkf cdjq gjAjl b Feltn gjl cntyfvb dfituj ujhjlf xthtp ldf ujlf.				"
PHRASE_eg_city_attacks_you_1year_reminder			"[greeting] [player_name], [reason_phrase] dfi ujhjl bcgsnftn dct ghtktcnb djqys c tubgtncrjq fhvbtq xthtp ujl."
PHRASE_eg_city_attacks_you_6month_warning			"[greeting] [player_name], [reason_phrase] tubgtncrfz fhvbz dct ghbFkbCftncz b ljcnbuytn dfituj ujhjlf xthtp itcnm vtczwtd.	"
PHRASE_eg_city_attacks_you_1month_warning			"[greeting] [player_name], [reason_phrase] tubgtncrfz fhvbz ghbFkbCftncz r dfibv uhfybwfv b ljcnbuytn dfituj ujhjlf xthtp vtczw."
PHRASE_eg_city_attacks_you_city_attacked_alert  	"[greeting] [player_name], tubgtncrbt fhvbb eCt gthtl dfvb!"
PHRASE_eg_city_attacks_you_reason_A  	 	 		"gjcrjkmre dfi ujhjl Fsk fnfrjdfy tubgtncrjq fhvbtq,"
PHRASE_eg_city_attacks_you_reason_B	  				"tubgtncrfz fhvbz fnfrjdfkf dfi ujhjl!  rhjvt njuj , "
PHRASE_eg_city_attacks_you_reason_C	  				"Ajnz dfi ujhjl Fsk fnfrjdfy tubgtncrjq fhvbtq,"
PHRASE_eg_city_attacks_you_no_reason_A  	 		"Fthtubntcm:"
PHRASE_eg_city_attacks_you_no_reason_B	  			"dhtvz djqys ghbikj, nfr xnj "
PHRASE_eg_city_attacks_you_no_reason_C	  			"gjcrjkmre dfif htgenfwbz d rjhjktdcndt jxtym ybprf,"
PHRASE_eg_city_attacks_you_because_of_low_favor		" dfit gjkjCtybt d rjhjktdcndt eAelibkjcm ghjcnj lj yekz. vjCtn Fsnm, gjlfhrb yfhjle tubgnf vjuen eghjxbnm dfit gjkjCtybt, yj lfCt ctqxfc "

;*****Foreign Army Attacks*************************************
PHRASE_foreign_army_attacks_you_title 					"dhfCtcrfz fhvbz fnfretn "
PHRASE_foreign_army_attacks_you_initial_announcement	"[greeting] [player_name], [reason_phrase] [a_foreign_army] ghbFkbCftncz b ljcnbuytn dfituj ujhjlf xthtp [time_until_attack] vtczwtd."
PHRASE_foreign_army_attacks_you_2year_reminder 			"[greeting] [player_name], [reason_phrase] xthtp ldf ujlf [a_foreign_army] Feltn e dfibA djhjn."
PHRASE_foreign_army_attacks_you_1year_reminder 			"[greeting] [player_name], [reason_phrase] [a_foreign_army] cjFbhftncz pfAdfnbnm dfc b ljcnbuytn dfituj ujhjlf xthtp ujl."
PHRASE_foreign_army_attacks_you_6month_warning 			"[greeting] [player_name], [reason_phrase] [a_foreign_army] ljcnbuytn dfituj ujhjlf xthtp itcnm vtczwtd. Felmnt ujnjds r bA gjzdktybE."
PHRASE_foreign_army_attacks_you_1month_Warning 			"[greeting] [player_name], [reason_phrase] [a_foreign_army] zdbncz r dfv xthtp vtczw, ujnjdmntcm."
PHRASE_foreign_army_attacks_you_city_attacked_alert  	"[greeting] [player_name], [a_foreign_army] gthtl yfvb, b jyb cjFbhfEncz eybxnjCbnm ujhjl!"
PHRASE_foreign_army_attacks_you_reason_A  	 	 		"gjcrjkmre dfi ujhjl fnfrjdfy [a_foreign_army],"
PHRASE_foreign_army_attacks_you_reason_B	  			" dfi ujhjl fnfrjdfy [a_foreign_army], b ntgthm "
PHRASE_foreign_army_attacks_you_reason_C	  			"Ajnz dfi ujhjl fnfrjdfy [a_foreign_army],"
PHRASE_foreign_army_attacks_you_no_reason_A  	 		"bp-pf bA vtxnfybq jF juhjvyjq bvgthbb,"
PHRASE_foreign_army_attacks_you_no_reason_B	  "gjAjCt, xnj yfib ghjFktvs Ftcrjytxys, "
PHRASE_foreign_army_attacks_you_no_reason_C	  ""

;OTHER EVENTS 
;*******Favor (Kingdom Rating) changes***************************** 
PHRASE_rating_change_title_I 					"htqnbyu rjhjktdcndf hfcntn "
PHRASE_rating_change_initial_announcement_I 	"[greeting] [player_name], [reason_phrase] ds cnfkb ujhfplj gjgekzhytt chtlb dfibA cjFhfnmtd- tubgnzy b htqnbyu dfituj rjhjktdcndf hfcntn."
PHRASE_rating_change_reason_I_A  	 	 		"gjcrjkmre dfif htgenfwbz d rjhjktdcndt ekexibkfcm,"
PHRASE_rating_change_reason_I_B	  "dfif htgenfwbz d rjhjktdcndt ekexibkfcm. ntgthm "
PHRASE_rating_change_reason_I_C	  "dfif htgenfwbz ekexibkfcm, yj "
PHRASE_rating_change_no_reason_I_A		"gjcrjkmre dhtvtyf ekexibkbcm ,"
PHRASE_rating_change_no_reason_I_B	  "Dnj Ajhjibt yjdjcnb , "
PHRASE_rating_change_no_reason_I_C	  "Cthnds dfituj ujhjlf d Fbndt Fskb dscjrj jwtytys kElmvb tubgnf. d htpekmnfnt "
PHRASE_rating_change_title_D 					"htqnbyu rjhjktdcndf gflftn "
PHRASE_rating_change_initial_announcement_D 	"[greeting] [player_name], [reason_phrase] tubgnzyt ytljdjkmys dfvb b htqnbyu dfituj rjhjktdcndf gflftn."
PHRASE_rating_change_reason_D_A  	 	 		"gjcrjkmre htqnbyu dfituj rjhjktdcndf egfk nfr ybprj,"
PHRASE_rating_change_reason_D_B	  				"dfif gjgekzhyjcnm d rjhjktdcndt gflftn, b ntgthm "
PHRASE_rating_change_reason_D_C	  				"Ajnz ds cnfyjdbntcm dct vtytt b vtytt gjgekzhyjq abuehjq d rjhjktdcndt,"
PHRASE_rating_change_no_reason_D_A  			"bp-pf ytljdjkmcndf d rjhjktdcndt,"
PHRASE_rating_change_no_reason_D_B	  "Dnj gkjAbt yjdjcnb , b "
PHRASE_rating_change_no_reason_D_C	  "dfib gjllfyyst dfc yt jljFhzEn. d  htpekmnfnt "

;******Price Changes**************************************
PHRASE_price_change_title_I 					"wtyf hfcntn "
PHRASE_price_change_initial_announcement_I		"[greeting] [player_name], [reason_phrase] wtys yf [item] gjlyzkbcm. bvgjhnbhjdfybt Dnjuj njdfhf cnfkj Fjktt ljhjubv, yj Drcgjhnbhjdfybt vjCtn ghbytcnb Fjkmibt ghbFskb."
PHRASE_price_change_reason_I_A  	 	 		"gjcrjkmre wtys yf [item] gjlyzkbcm,"
PHRASE_price_change_reason_I_B	  "wtys yf [item] gjlyzkbcm, b r njve Ct "
PHRASE_price_change_reason_I_C	  "Ajnz wtys gjlyzkbcm,"
PHRASE_price_change_no_reason_I_A   	"bp-pf evtymitybz ghjlfC d vbht,"
PHRASE_price_change_no_reason_I_B	  "gjcrjkmre hsyjr vtyztncz "
PHRASE_price_change_no_reason_I_C	  ""
PHRASE_price_change_title_D 					"evtymitybt wtys "
PHRASE_price_change_initial_announcement_D		"[greeting] [player_name], [reason_phrase] wtys yf [item] egfkb. Dnj evtymibn ghbFskb jn Drcgjhnbhjdfybz Dnjuj njdfhf."
PHRASE_price_change_reason_D_A  	 	 	"gjcrjkmre wtys yf [item] , gj rjnjhsv ds vjCtnt tuj ghjlfnm, egfkb,"
PHRASE_price_change_reason_D_B	  "wtys egfkb , b r njve Ct "
PHRASE_price_change_reason_D_C	  "Ajnz wtys egfkb,"
PHRASE_price_change_no_reason_D_A  		"bp-pf gthtghjbpdjlcndf d rjhjktdcndt,"
PHRASE_price_change_no_reason_D_B	  "gjcrjkmre hsyjr vtyztncz "
PHRASE_price_change_no_reason_D_C	  ""

;*****Demand Changes**************************
PHRASE_demand_change_title_I 					"edtkbxtybt njhujdkb "
PHRASE_demand_change_initial_announcement_I 	"[greeting] [player_name], [reason_phrase] [city_name] cjFbhftncz njhujdfnm Fjkmibv rjkbxtcndjv [item]."
PHRASE_demand_change_reason_I_A  	 			"gjcrjkmre [city_name] cjFbhftncz njhujdfnm Fjkmibv rjkbxtcndjv [item],"
PHRASE_demand_change_reason_I_B	  "[city_name] cjFbhftncz njhujdfnm Fjkmibv rjkbxtcndjv [item].  r njve Ct,"
PHRASE_demand_change_reason_I_C	  "Ajnz [city_name] cjFbhftncz njhujdfnm Fjkmibv rjkbxtcndjv [item],"
PHRASE_demand_change_no_reason_I_A  	"gjcrjkmre [city_name] hfcntn,"
PHRASE_demand_change_no_reason_I_B	  "dhtvtyf vtyzEncz, b"
PHRASE_demand_change_no_reason_I_C	  ""
PHRASE_demand_change_title_D 					"evtymitybt njhujdkb "
PHRASE_demand_change_initial_announcement_D 	"[greeting] [player_name], [reason_phrase] [city_name] htibk evtymibnm rjkbxtcndj [item] , rjnjhsv jyb Ajnzn njhujdfnm c dfvb."
PHRASE_demand_change_reason_D_A  	 			"gjcrjkmre [city_name] yt ghjlftn nfr vyjuj [item],"
PHRASE_demand_change_reason_D_B	  "[city_name] yt ghjlftn nfr vyjuj, b"
PHRASE_demand_change_reason_D_C	  "Ajnz [city_name] yt ghjlftn nfr vyjuj,"
PHRASE_demand_change_no_reason_D_A			"gjcrjkmre uhfClfyt [city_name] yt gjregfEn njdfh,"
PHRASE_demand_change_no_reason_D_B	  "dhtvtyf vtyzEncz , b"
PHRASE_demand_change_no_reason_D_C	  ""

;*****Earthquake**************************************
PHRASE_earthquake_title 					"ptvktnhzctybt!"
PHRASE_earthquake_initial_announcement 		"[greeting] [player_name], [reason_phrase]  ptvkz cldbyekfcm gjl yfibvb yjufvb. yfif cnhfyf eCt ybrjulf yt Feltn ghtCytq. Ajnbnt kb ds bcghfdbnm gjdhtCltybz, rjnjhst yfytckj ptvktnhzctybt dfitve ujhjle b dfibv Cbntkzv."
PHRASE_earthquake_reason_A  	 	 					"bp-pf Cenrjuj ptvktnhzctybz,"
PHRASE_earthquake_reason_B	  "d ljFfdjr r eCfcyjve ptvktnhzctybE,"
PHRASE_earthquake_reason_C	  "ytcvjnhz yf eCfcyjt ptvktnhzctybt"
PHRASE_earthquake_no_reason_A  	 						"ujhjl bcgeufy, nfr rfr "
PHRASE_earthquake_no_reason_B	  "Ftlf cyjdf ghbikf d yfi ujhjl, b "
PHRASE_earthquake_no_reason_C	  ""

;*****Sea trade problem/Stormy Seas**************************************
PHRASE_stormy_seas_title 					"Fehb"
PHRASE_stormy_seas_initial_announcement 	"[greeting] [player_name], [reason_phrase] juhjvyst djkys Ajlzn gj vjhE. vjuen ghjqnb vtczws, ghtClt xtv dtnhf ecgjrjzncz b njhujdws hbcryen dsdtcnb cdjb celf d jnrhsnjt vjht. f gjrf vs yt vjCtv njhujdfnm gj djlt."
PHRASE_stormy_seas_reason_A  	 	 					"bp-pf DnbA eCfcysA injhvjd,"
PHRASE_stormy_seas_reason_B	  "gjrf vs d gktye e DnbA injhvjd,"
PHRASE_stormy_seas_reason_C	  "ytcvjnhz yf eCfcyst injhvs "
PHRASE_stormy_seas_no_reason_A  	 					"injhvs FeieEn b "
PHRASE_stormy_seas_no_reason_B	  "yfib ytghbznyjcnb njkmrj yfxbyfEncz b "
PHRASE_stormy_seas_no_reason_C	  ""
                         
;*****Land trade problem/Sandstorms**************************************
PHRASE_sandstorm_title 						"gtcxfyst Fehb"
PHRASE_sandstorm_initial_announcement 		"[greeting] [player_name], [reason_phrase] gtcrb gthtrhskb ljhjub, rjt-ult gjrhsdfz ljhjub wtkbrjv. njhujdws yt hbcreEn jnghfdkznmcz d genm, Fjzcm cFbnmcz c genb. gjrf dtnhs yt enbAyen, yb jlby njhujdtw ybrelf yt gjtltn."
PHRASE_sandstorm_reason_A  	 				"gjcrjkmre njhujdsq yt gsnfEncz ghjqnb crdjpm gtcxfyst Fehb b dcz njhujdkz gj ptvkt ghtrhfnbkfcm,"
PHRASE_sandstorm_reason_B	  "gtcxfyst Fehb jcnfyjdbkb njhujdwtd d genb. nfrCt"
PHRASE_sandstorm_reason_C	  "ytcvjnhz yf gjcktlybt gtcxfyst Fehb, rjnjhst ghthdfkb njhujdkE,"
PHRASE_sandstorm_no_reason_A  	 						"bp-pf cbkmysA dtnhjd,"
PHRASE_sandstorm_no_reason_B	  "gecnsyz - jgfcyjt vtcnj, b "
PHRASE_sandstorm_no_reason_C	  ""

;*****Wage change**************************************
PHRASE_wage_change_title_I 					"¹Workers Rejoice at Raise"
PHRASE_wage_change_initial_announcement_I 	"[greeting] [player_name], [reason_phrase] pfhgkfns d rjhjktdcndt gjdscbkbcm. dfib hfFjnybrb vjuen eqnb bcrfnm kexitq ljkb, tckb jyb yt Felen gjkexfnm cnjkmrj Ct, crjkmrj bA rjkktub d ujhjlfA."
PHRASE_wage_change_reason_I_A  	 	 		"gjcrjkmre pfhgkfns d rjhjktdcndt gjdscbkbcm,"
PHRASE_wage_change_reason_I_B	  " pfhgkfns d rjhjktdcndt gjdscbkbcm, b"
PHRASE_wage_change_reason_I_C	  "Ajnz pfhgkfns d rjhjktdcndt gjdscbkbcm,"
PHRASE_wage_change_no_reason_I_A  	"dhtvtyf vtyzEncz, b "
PHRASE_wage_change_no_reason_I_B	  "rnj-nj hfletncz, rnj-nj uhecnbn, b "
PHRASE_wage_change_no_reason_I_C	  ""
PHRASE_wage_change_title_D 					"pfhgkfns gflfEn "
PHRASE_wage_change_initial_announcement_D 	"[greeting] [player_name], [reason_phrase] pfhgkfns gflfEn gj dctve tubgne. gjAjCt, xnj ntgthm kElb Felen hfFjnfnm pf vtymibt ltymub."
PHRASE_wage_change_reason_D_A  	 	 				"gjcrjkmre pfhgkfns egfkb,"
PHRASE_wage_change_reason_D_B	  "pfhgkfns egfkb b  r njve Ct,"
PHRASE_wage_change_reason_D_C	  "Ajnz pfhgkfns egfkb,"
PHRASE_wage_change_no_reason_D_A  		"xnjFs cybpbnm wtys,"
PHRASE_wage_change_no_reason_D_B	  "rnj-nj uhecnbn, rnj-nj hfletncz, b "
PHRASE_wage_change_no_reason_D_C	  ""

;*****Contaminated water**************************************
PHRASE_bad_water_title 					"uhzpyfz djlf "
PHRASE_bad_water_initial_announcement 	"[greeting] [player_name], [reason_phrase] ytrjnjhst dfib ujhjCfyt pfFjktkb bp-pf xtuj-nj, cjlthCfotujcz d djlt. yfltqntcm, xnj Dnf ghjFktvf yt hfphfcntncz."
PHRASE_bad_water_reason_A  	 	 				"bp- pf pfuhzpytybz djls,"
PHRASE_bad_water_reason_B	  "r cjCfktybE, ghjbpjikj pfuhzpytybt djls. ntgthm,"
PHRASE_bad_water_reason_C	  "Ajnz djlf Fskf pfuhzpytyf,"
PHRASE_bad_water_no_reason_A  		"elfxf gjrbyekf ujhjl , b "
PHRASE_bad_water_no_reason_B	  ", Dnj ltqcndbntkmyj ytdtptybt. gjAjCt, "
PHRASE_bad_water_no_reason_C	  ""

;*****Gold mine collapse**************************************
PHRASE_goldmine_cavein_title 					"jFdfk pjkjnjq ifAns "
PHRASE_goldmine_cavein_initial_announcement 	"[greeting] [player_name], [reason_phrase] pjkjnfz ifAnf jFdfkbkfcm. yfib cnhjbntkb Fskb Ftccbkmys Dnj jcnfyjdbnm. Feltv yfltznmcz, xnj yfib cnhjbntkb djccnfyjdzn Dnj djdhtvz."
PHRASE_goldmine_cavein_reason_A  	 	 			"gjcrjkmre pjkjnfz ifAnf jFdfkbkfcm,"
PHRASE_goldmine_cavein_reason_B	  "jFdfk pjkjnjq ifAns Fsk Fjkmibv ytdtptybtv.  ntgthm,"
PHRASE_goldmine_cavein_reason_C	  "Ajnz pjkjnfz ifAnf jFdfkbkfcm,"
PHRASE_goldmine_cavein_no_reason_A 		"bp-pf psFexbA gtcrjd,"
PHRASE_goldmine_cavein_no_reason_B	  "Ftp ghtleghtCltybz,"
PHRASE_goldmine_cavein_no_reason_C	  ""

;*****landslides???????????????????????????
PHRASE_landslide_title 					"jgjkptym"
PHRASE_landslide_initial_announcement 	"[greeting] [player_name], [reason_phrase] cnhfiysq jgjkptym gththtpfk njhujdst genb. vjuen ghjqnb vtczws, ghtClt xtv ljhjub hfcxbcnzn b njhujdws cvjuen ldbyenmcz d genm."
PHRASE_landslide_reason_A  	 	 				"bp-pf jgjkpyz,"
PHRASE_landslide_reason_B	  "jgjkptym Fsk jgecnjibntkty. ntgthm,"
PHRASE_landslide_reason_C	  "ytcvjnhz yf nj, xnj Fskb Cenrbt jgjkpyb, ,"
PHRASE_landslide_no_reason_A  	 					"tcnm Cenrbt yjdjcnb:"
PHRASE_landslide_no_reason_B	  "Ftp ghtleghtCltybz "
PHRASE_landslide_no_reason_C	  ""

;*****Flood fails******************************************
PHRASE_flood_fails_title 					"jCblftncz ckfFjt gjkjdjlmt "
PHRASE_flood_fails_initial_announcement 	"[greeting] [player_name], [reason_phrase] Chtws ytcen lehyst dtcnb...gjAjCt, xnj cktleEobq hfpkbd ybkf yt cjcnjbncz!  htuekzhyj ghjdthzqnt ybkjvtnh...lfCt Chtws jibFfEncz, dct hfdyj, kexit, tckb ujhjl Feltn ujnjd r Aelitve."
PHRASE_flood_fails_reason_A  	 	 					"gjcrjkmre hfpkbd ybkf vjCtn yt cjcnjznmcz "
PHRASE_flood_fails_reason_B	  " hfpkbd ybkf vjCtn yt cjcnjznmcz, b"
PHRASE_flood_fails_reason_C	  "Ajnz hfpkbd ybkf vjCtn yt cjcnjznmcz,"
PHRASE_flood_fails_no_reason_A		"bp-pf pfceAb d fahbrt,"
PHRASE_flood_fails_no_reason_B	  "yfib ghjFktvs njkmrj yfxbyfEncz,  "
PHRASE_flood_fails_no_reason_C	  ""

;*****Perfect Flood******************************
PHRASE_perfect_flood_title 					"gjkjdjlmt Feltn ecgtiysv "
PHRASE_perfect_flood_initial_announcement 	"[greeting] [player_name], [reason_phrase] Dnj FjCmt Fkfujckjdtybt, yj hfpkbd ybkf Feltn Ajhjibv!  htuekzhyj ghjdthzqnt ybkjvtnh.  tckb Chtws jibFencz, nj ujhjl vjCtn jcnfnmcz ytujnjdsv."
PHRASE_perfect_flood_reason_A  	 	 				"nfr rfr hfpkbd jCblftncz dtcmvf gjkyjdjlysq,"
PHRASE_perfect_flood_reason_B	  " hfpkbd jCblftncz dtcmvf gjkyjdjlysq, b"
PHRASE_perfect_flood_reason_C	  "Ajnz hfpkbd jCblftncz dtcmvf gjkyjdjlysq,"
PHRASE_perfect_flood_no_reason_A  	 					"nfr rfr d fahbrt yfxbyfEncz veccjys, nj  "
PHRASE_perfect_flood_no_reason_B	  "vs ltqcndbntkmyj dtpeyxbrb, b"
PHRASE_perfect_flood_no_reason_C	  ""

;*****Bedouin Attack******************************************
PHRASE_bedouin_attacks_you_title 					"Ftlebys fnfreEn "
PHRASE_bedouin_attacks_you_initial_announcement		"[greeting] [player_name], [reason_phrase] fhvbz Ftlebyjd ghbFkbCftncz r ujhjle b ljcnbuytn tuj xthtp [time_until_attack] vtczwtd."
PHRASE_bedouin_attacks_you_2year_reminder			"[greeting] [player_name], [reason_phrase] fhvbz Ftlebyjd dct ghbFkbCftncz b ljcnbuytn ujhjlf xthtp ldf ujlf.				"
PHRASE_bedouin_attacks_you_1year_reminder			"[greeting] [player_name], [reason_phrase] fhvbz Ftlebyjd dct ldbCtncz b ljcnbuytn ujhjlf xthtp ujl."
PHRASE_bedouin_attacks_you_6month_warning			"[greeting] [player_name], [reason_phrase] fhvbz Ftlebyjd dct tot d ldbCtybb b ljcnbuytn ujhjlf xthtp itcnm vtczwtd.	"
PHRASE_bedouin_attacks_you_1month_warning			"[greeting] [player_name], [reason_phrase] fhvbz Ftlebyjd eCt cjdctv Fkbprj b ljcnbuytn ujhjlf eCt xthtp vtczw."
PHRASE_bedouin_attacks_you_city_attacked_alert  	"[greeting] [player_name], Ftlebys eCt fnfreEn!"
PHRASE_bedouin_attacks_you_reason_A  	 	 		"gjcrjkmre dfi ujhjl ecgtiyj chfCfkcz c fhvbtq Ftlebyjd,"
PHRASE_bedouin_attacks_you_reason_B	  				" dfi ujhjl ecgtiyj chfCfkcz c fhvbtq Ftlebyjd.  xnj lj jcnfkmyjuj,"
PHRASE_bedouin_attacks_you_reason_C	  "Ajnz dfi ujhjl ecgtiyj chfCfkcz c fhvbtq Ftlebyjd,"
PHRASE_bedouin_attacks_you_no_reason_A  	"xnjFs eljdktndjhbnm cdjE CfCle Fjufncndf,"
PHRASE_bedouin_attacks_you_no_reason_B	  "yfib ghjFktvs jxtym cthmtpys, b "
PHRASE_bedouin_attacks_you_no_reason_C	  ""

;*****Gifts******************************************

PHRASE_gift_title_P 				"gjlfhjr jn afhfjyf "
PHRASE_gift_title_C 				"gjlfhjr jn  cjctltq "
PHRASE_gift_granted_P				"[greeting] [player_name], [reason_phrase] afhfjy ghjcbn dfc ghbyznm [amount] [item] jn [city_name]."
PHRASE_gift_granted_C				"[greeting] [player_name], [reason_phrase] ujhjl [city_name] lfhbn dfv [amount] [item]."
PHRASE_gift_cash_granted_P			"[greeting] [player_name], [reason_phrase] ghjcbn dfc ghbyznm [amount] ltFtyjd jn  [city_name]."
PHRASE_gift_cash_granted_C			"[greeting] [player_name], [reason_phrase] ujhjl [city_name] ghjcbn dfc ghbyznm [amount] ltFtyjd."
PHRASE_gift_partial_space_P			"[greeting] [player_name], [reason_phrase] afhfjy ghjcbn dfc ghbyznm [amount] [item] jn [city_name].  e dfc yt Adfnftn vtcnf d dfibA AhfybkbofA , xnjFs ghbyznm Dnjn gjlfhjr, yj ds vjCtnt dnbcyenm nelf Ajnz Fs gjkjdbye tuj."
PHRASE_gift_partial_space_C			"[greeting] [player_name], [reason_phrase] ujhjl [city_name] ghjcbn dfc ghbyznm [amount] [item]. e dfc yt Adfnftn vtcnf d dfibA AhfybkbofA , xnjFs ghbyznm Dnjn gjlfhjr, yj ds vjCtnt dnbcyenm nelf Ajnz Fs gjkjdbye."
PHRASE_gift_insufficient_space_P 	"[greeting] [player_name], [reason_phrase] afhfjy ghjcbn dfc ghbyznm gjlfhjr d hfpvtht [amount] [item] jn [city_name], yj e dfc ytn vtcnf d AhfybkbofA. jcdjFjlbnt ytvyjuj vtcnf, b gjlfhjr Feltn ljcnfdkty d cktleEotv vtczwt."
PHRASE_gift_insufficient_space_C 	"[greeting] [player_name], [reason_phrase] ujhjl [city_name] ghjcbn dfc ghbyznm gjlfhjr d hfpvtht [amount] [item], yj e dfc ytn vtcnf d AhfybkbofA. jcdjFjlbnt ytvyjuj vtcnf, b gjlfhjr Feltn ljcnfdkty d cktleEotv vtczwt."
PHRASE_gift_last_chance_P 			"[greeting] [player_name], cjukfcyj ghbrfpe afhfjyf, ujhjl [city_name] gsnfkcz jnlfnm dfv gjlfhjr d hfpvtht [amount] [item], yj e dfc dct tot ytn cdjFjlyjuj vtcnf d AhfybkbofA, xnjFs ghbyznm tuj. ds pfcnfdbkb gjckjd Clfnm ckbirjv ljkuj, b jyb cthlzncz. ghbvbnt gjlfhjr ctqxfc Ct, jyb Fjkmit yt dthyenmcz." 
PHRASE_gift_last_chance_C 			"[greeting] [player_name], ujhjl [city_name] gsnfkcz jnlfnm dfv gjlfhjr d hfpvtht [amount] [item], yj e dfc dct tot ytn cdjFjlyjuj vtcnf d AhfybkbofA, xnjFs ghbyznm tuj. ds pfcnfdbkb gjckjd Clfnm ckbirjv ljkuj, b jyb cthlzncz. ghbvbnt gjlfhjr ctqxfc Ct, jyb Fjkmit yt dthyenmcz."
PHRASE_gift_forfeited_P 			"[greeting] [player_name], e dfc dct tot ytljcnfnjxyj vtcnf, xnjFs ghbyznm gjlfhjr d hfpvtht [amount] [item] jn [city_name], b jy gjnthzy."
PHRASE_gift_forfeited_C 			"[greeting] [player_name], e dfc dct tot ytljcnfnjxyj vtcnf, xnjFs ghbyznm gjlfhjr d hfpvtht [amount] [item] jn [city_name], b jy gjnthzy."
PHRASE_gift_accepted_P 				"cjukfcyj ghbrfpe afhfjyf, Ahfybkbof dfituj ujhlf Fskb yfgjkytys yfcnjkmrj Fjkmibv rjkbxtcndjv [item] bp [city_name] yfcrjkmrj jyb vjuen ghbyznm."
PHRASE_gift_accepted_C 				"Ahfybkbof dfituj ujhlf Fskb yfgjkytys yfcnjkmrj Fjkmibv rjkbxtcndjv [item] bp [city_name] yfcrjkmrj jyb vjuen ghbyznm."
PHRASE_gift_cash_accepted_P 		"cjukfcyj ghbrfpe afhfjyf, [amount_granted] ltFtyjd Fskb ljFfdktys d dfie rfpye."
PHRASE_gift_cash_accepted_C 		"Fkfujlfhz [city_name], [amount_granted] ltFtyjd Fskb ljFfdktys d dfie rfpye."
PHRASE_gift_postponed_P				"gjcks bp [city_name] dthyenmcz xthtp vtczw c gjlfhrjv "
PHRASE_gift_postponed_C 			" gjcks bp [city_name] dthyenmcz xthtp vtczw c gjlfhrjv."
PHRASE_gift_refused_P 				"nfr rfr ds jnrfpfkbcm ghbyznm d gjlfhjr [item] bp [city_name], vs levftv, xnj yfif gjvjom ghbujlbnmcz rjve-ybFelm tot."
PHRASE_gift_refused_C 				" nfr rfr ds jnrfpfkbcm ghbyznm d gjlfhjr [item] bp [city_name], vs levftv, xnj yfif gjvjom ghbujlbnmcz rjve-ybFelm tot."
PHRASE_gift_accepted_reason_P_A  	 		"gjcrjkmre ds ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name]"
PHRASE_gift_accepted_reason_P_B	  "ds ghbyzkb gjlfhjr bp [city_name],"
PHRASE_gift_accepted_reason_P_C	  "Ajnz ds ghbyzkb gjlfhjr  d hfpvtht [amount] [item] bp [city_name],"
PHRASE_gift_accepted_reason_C_A  	 		"gjcrjkmre ds ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name]"
PHRASE_gift_accepted_reason_C_B	  " ds ghbyzkb gjlfhjr  bp [city_name],"
PHRASE_gift_accepted_reason_C_C	  "Ajnz ds ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name],"
PHRASE_gift_forfeited_reason_P_A  	 		"gjcrjkmre ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name]"
PHRASE_gift_forfeited_reason_P_B	  " ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name].  nfrCt,"
PHRASE_gift_forfeited_reason_P_C	  "Ajnz ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name] "
PHRASE_gift_forfeited_reason_C_A  	 		"gjcrjkmre ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name] "
PHRASE_gift_forfeited_reason_C_B	  " ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name].  nfrCt,"
PHRASE_gift_forfeited_reason_C_C	  "Ajnz ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name] "
PHRASE_gift_refused_reason_P_A  	 		"gjcrjkmre ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name] "
PHRASE_gift_refused_reason_P_B	  " ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name].  ntgthm,"
PHRASE_gift_refused_reason_P_C	  "Ajnz ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name],"
PHRASE_gift_refused_reason_C_A  	 		"gjcrjkmre ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name] "
PHRASE_gift_refused_reason_C_B	  " ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name].  ntgthm,"
PHRASE_gift_refused_reason_C_C	  "Ajnz ds yt ghbyzkb gjlfhjr d hfpvtht [amount] [item] bp [city_name],"
PHRASE_gift_no_reason_P_A  					"gjcrjkmre dfv yeCyf gjvjom "
PHRASE_gift_no_reason_P_B	  "gjcrjkmre Fkfujcrkjyyjcnm afhfjyf - Dnj ltqcndbntkmyj Fkfujcrkjyyjcnm,"
